RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
098.18455517934;+20.28847800533;    0.0691;   -1.684;   -2.651;20.2934;19.9045;18.7002
098.16814129926;+20.28550248854;    0.1971;   -2.638;   -1.758;19.4167;20.0287;18.6162
098.17974587921;+20.27374529057;   -0.3095;    1.752;   -2.329;19.2462;19.8377;18.5025
098.17706756009;+20.27339922958;    0.1339;    1.515;   -1.557;19.9215;20.4093;19.1105
098.16737498356;+20.28376566761;    0.3657;    0.621;   -1.362;19.3758;19.8649;18.4904
098.18425377324;+20.28666857633;    0.5139;   -1.331;   -3.602;15.5283;15.9142;14.9603
098.17295281626;+20.30124325798;    0.5209;    0.643;   -2.901;16.2694;16.7730;15.6042
098.18754595831;+20.27901970103;    0.7663;    0.399;   -1.327;18.8131;19.2853;18.0588
098.18921688079;+20.29017680936;    2.1472;   -3.224;  -13.693;19.9679;20.8844;18.5984
098.17002629054;+20.29929574413;    0.2851;   -0.547;   -0.587;20.0387;20.3516;19.3288
098.17352652774;+20.28797192388;    0.2652;    0.184;   -0.118;18.8443;19.2255;18.2220
098.17549980512;+20.27544724856;    0.0206;   -1.235;   -1.968;17.2517;17.7239;16.5714
098.15557916575;+20.28576882508;   -0.2711;   -2.100;   -0.105;19.9735;20.5549;19.2675
098.16781645985;+20.27264109809;    0.4026;    1.675;   -3.576;19.8402;20.2548;18.9101
098.18821556601;+20.27992985804;    0.6013;    1.070;   -1.673;17.2284;17.7413;16.5195
098.18141102433;+20.27834914411;    0.3224;    0.772;   -1.390;18.3957;18.8490;17.6835
098.18266618569;+20.27326237140;          ;         ;         ;20.6390;21.7545;19.3791
098.17402772396;+20.30112446837;          ;         ;         ;20.7703;21.0568;19.5570
098.16983530141;+20.28786235965;   -0.0916;    0.252;    0.358;18.4509;       ;
098.16936347331;+20.28783043958;    0.1143;   -0.218;   -0.032;18.2649;18.4375;17.2732
098.18167058965;+20.28052088803;    0.2156;    8.552;  -10.356;19.4862;20.4507;18.3603
098.18257858513;+20.28999883229;    1.3816;  -14.318;   -6.681;18.9038;20.2244;17.7047
098.19299006226;+20.29775324430;    0.0349;    0.360;   -0.709;19.0101;19.4860;18.3004
